Bus,X,Y
mv_f0_n5,2371.247336,438.685224
mv_f0_n6,6386.416068,4653.721874
mv_f0_n7,3960.363895,2169.08782
mv_f0_n8,5345.913613,5104.909894
mv_f0_n9,2819.779165,1544.615889
mv_f0_n10,5132.812143,2043.850991
mv_f0_n11,5331.454955,2030.015779
mv_f0_n12,3508.269818,3233.738808
mv_f0_n13,7525.908959,4938.082653
mv_f0_n14,1667.213752,2508.289409
mv_f0_n15,3135.723219,2772.168028
mv_f0_n16,3946.542896,2136.166023
mv_f0_n17,3855.083074,2311.13237
mv_f0_n18,7808.496109,4860.637866
mv_f0_n19,5357.147227,6261.995024
mv_f0_n20,3946.088969,2137.087378
mv_f0_n21,2821.981793,1544.486268
mv_f0_n22,5356.213435,6260.119033
mv_f0_n23,6812.085104,5344.618939
mv_f0_n24,4471.226397,5170.388275
mv_f0_n25,5952.51474,6526.208659
mv_f0_n26,2736.98719,1850.710656
mv_f0_n27,1637.346431,1864.079726
mv_f0_n28,3466.802498,3133.004589
mv_f0_n29,6600.429716,5330.859923
mv_f0_n30,3788.432529,1923.444059
mv_f0_n31,5060.157872,2048.916692
mv_f0_n32,5522.761441,5571.771458
mv_f0_n33,5134.818068,5349.063688
mv_f0_n34,3843.029328,1513.705185
mv_f0_n35,8557.060768,4252.878191
mv_f0_n36,2332.691634,327.988636
mv_f0_n37,8341.281128,4197.110821
mv_f0_n38,2482.417067,684.288228
mv_f0_n39,5229.684504,5346.724393
mv_f0_n40,3265.072982,2339.189904
mv_f0_n41,5211.177249,6309.085718
mv_f0_n42,5337.803449,5335.297665
mv_f0_n43,5346.977099,6772.773337
mv_f0_n44,5119.459122,1958.60088
mv_f0_n45,2707.701076,2160.66492
mv_f0_n46,6476.954814,4888.653101
mv_f0_n47,3921.881865,2175.520842
mv_f0_n48,5529.764887,5322.720996
mv_f0_n49,5620.470325,6746.744185
mv_f0_n50,3467.27588,3134.128257
mv_f0_n51,2559.687596,930.334913
mv_f0_n52,6927.139407,5265.357197
mv_f0_n53,7604.274317,4326.44295
mv_f0_n54,5285.465657,6072.376072
mv_f0_n55,5482.828828,5325.798601
mv_f0_n56,2411.259927,544.034975
mv_f0_n57,5461.157052,6766.110155
mv_f0_n58,5665.898978,5343.770214
mv_f0_n59,3842.36311,1512.173313
mv_f0_n60,5962.642718,1900.82378
mv_f0_n61,5665.898978,5343.753351
mv_f0_n62,3788.432529,1921.578966
mv_f0_n63,5564.987467,6752.23991
mv_f0_n64,2447.234728,638.83206
mv_f0_n65,4523.502332,5162.325284
mv_f0_n66,5136.936394,5348.911297
mv_f0_n67,4834.950598,5374.552204
mv_f0_n68,4857.209237,2242.468658
mv_f0_n69,2754.519583,2371.64752
mv_f0_n70,4984.168317,5362.765777
mv_f0_n71,7719.035728,4628.652612
mv_f0_n72,5752.031362,5965.852116
mv_f0_n73,5748.428046,1677.580889
mv_f0_n74,5229.243546,5345.866096
mv_f0_n75,3583.124554,3444.523264
mv_f0_n76,5890.725538,6348.395433
mv_f0_n77,6302.550599,6688.77824
mv_f0_n78,5128.454443,5349.526117
mv_f0_n79,7658.319739,4470.247007
mv_f0_n80,5953.077826,1882.361649
mv_f0_n81,3536.41762,3341.619657
mv_f0_n82,4389.698932,2271.504475
mv_f0_n83,6093.291577,6711.546151
mv_f0_n84,2934.998827,1845.321781
mv_f0_n85,7081.302769,5597.775211
mv_f0_n86,7686.912822,4544.735748
mv_f0_n87,5065.801698,5357.43383
mv_f0_n88,5425.978157,5025.448955
mv_f0_n89,4467.171063,4045.690875
mv_f0_n90,5827.920152,1991.039229
mv_f0_n91,3235.788201,1732.88145
mv_f0_n92,3186.351219,2457.680348
mv_f0_n93,3668.508238,3651.184395
mv_f0_n94,5678.681069,5987.436518
mv_f0_n95,5537.946382,6224.477838
mv_f0_n96,8016.470365,4937.671718
mv_f0_n97,4948.072469,2236.824046
