bus_name,phase,pp_bus_idx,vn_kv,N,MAPE_%,Max_%,MeanSigned_%
mv_f0_lv23_f1_c36,A,6533,0.433,48,5.393409579467513,10.038953812934547,5.393409579467513
mv_f0_lv23_f1_c37,A,6535,0.433,48,5.383663791181824,10.006818303018045,5.383663791181824
mv_f0_lv23_f1_n37,A,6534,0.433,48,5.379947971917843,9.996851039672041,5.379947971917843
mv_f0_lv23_f1_c38,A,6537,0.433,48,5.3796152333067075,9.996737796417143,5.3796152333067075
mv_f0_lv23_f1_n38,A,6536,0.433,48,5.37949916859498,9.996454370238588,5.37949916859498
mv_f0_lv23_f1_c39,A,6539,0.433,48,5.379364095931213,9.996587668463793,5.379364095931213
mv_f0_lv23_f1_n39,A,6538,0.433,48,5.379205873424691,9.996766655850788,5.379205873424691
mv_f0_lv23_f1_n36,A,6532,0.433,48,5.3789729055795545,9.993428493529677,5.3789729055795545
mv_f0_lv23_f1_c35,A,6531,0.433,48,5.373952804708701,9.98575884438509,5.373952804708701
mv_f0_lv23_f1_n35,A,6530,0.433,48,5.372470627434374,9.972581395274684,5.372470627434374
mv_f0_lv23_f1_c32,A,6525,0.433,48,5.369318926517626,10.021147673825626,5.369318926517626
mv_f0_lv23_f1_c34,A,6529,0.433,48,5.36540540375353,9.94664174320095,5.36540540375353
mv_f0_lv23_f1_n34,A,6528,0.433,48,5.365404738636205,9.94670619070968,5.365404738636205
mv_f0_lv23_f1_c33,A,6527,0.433,48,5.362199695029372,9.967061039664545,5.362199695029372
mv_f0_lv23_f1_n33,A,6526,0.433,48,5.358315357584854,9.920741292650785,5.358315357584854
mv_f0_lv23_f1_n32,A,6524,0.433,48,5.3497464047645,9.877086687669314,5.3497464047645
mv_f0_lv23_f1_n31,A,6522,0.433,48,5.333716912068605,9.778462389076736,5.333716912068605
mv_f0_lv23_f1_c31,A,6523,0.433,48,5.331829349169719,9.797965713249686,5.331829349169719
mv_f0_lv23_f1_c30,A,6521,0.433,48,5.31790316347404,9.678084822294782,5.31790316347404
mv_f0_lv23_f1_n30,A,6520,0.433,48,5.317902260654258,9.678764784175153,5.317902260654258
mv_f0_lv23_f1_c29,A,6519,0.433,48,5.303327872693548,9.577683472284395,5.303327872693548
mv_f0_lv23_f1_n29,A,6518,0.433,48,5.3020286342792025,9.577935596051965,5.3020286342792025
mv_f0_lv23_f1_n28,A,6516,0.433,48,5.285695809821377,9.477471729338662,5.285695809821377
mv_f0_lv23_f1_c28,A,6517,0.433,48,5.2837307547675545,9.456928413729164,5.2837307547675545
mv_f0_lv3_f3_c32,A,1703,0.433,48,5.271532886858973,9.21510141177158,5.271532886858973
mv_f0_lv3_f3_c39,A,1717,0.433,48,5.270302296738386,9.232467702610137,5.270302296738386
mv_f0_lv23_f1_n27,A,6514,0.433,48,5.269562369589362,9.378903130048418,5.269562369589362
mv_f0_lv23_f1_c27,A,6515,0.433,48,5.266242564350082,9.383988780844458,5.266242564350082
mv_f0_lv3_f3_n39,A,1716,0.433,48,5.265779441434998,9.235933255603287,5.265779441434998
mv_f0_lv3_f3_c38,A,1715,0.433,48,5.2644460989759425,9.288853409550446,5.2644460989759425
mv_f0_lv3_f3_n38,A,1714,0.433,48,5.264046709656843,9.237261596100373,5.264046709656843
mv_f0_lv3_f3_c37,A,1713,0.433,48,5.263834936098082,9.23551763779783,5.263834936098082
mv_f0_lv9_f2_c39,A,3299,0.433,48,5.262471860087925,9.672273374396001,5.262471860087925
mv_f0_lv3_f3_n37,A,1712,0.433,48,5.262170299896001,9.218872204897957,5.262170299896001
mv_f0_lv3_f3_c35,A,1709,0.433,48,5.260919899296913,9.182910028535026,5.260919899296913
mv_f0_lv3_f3_c36,A,1711,0.433,48,5.259761802333917,9.194273228190285,5.259761802333917
mv_f0_lv3_f3_n36,A,1710,0.433,48,5.259663748908526,9.194145004542296,5.259663748908526
mv_f0_lv3_f3_n35,A,1708,0.433,48,5.257381407233706,9.169751081765341,5.257381407233706
mv_f0_lv3_f3_c34,A,1707,0.433,48,5.254897447974732,9.140741493018593,5.254897447974732
mv_f0_lv23_f1_c26,A,6513,0.433,48,5.2542228564613,9.288181674504296,5.2542228564613
mv_f0_lv3_f3_n34,A,1706,0.433,48,5.253753888093645,9.140375119208132,5.253753888093645
mv_f0_lv23_f1_n26,A,6512,0.433,48,5.253740355377093,9.280347485617744,5.253740355377093
mv_f0_lv3_f3_n33,A,1704,0.433,48,5.249701413576783,9.1109295790818,5.249701413576783
mv_f0_lv3_f3_c33,A,1705,0.433,48,5.247365007691897,9.10360021881894,5.247365007691897
mv_f0_lv3_f3_n32,A,1702,0.433,48,5.245852930936748,9.08215952647291,5.245852930936748
mv_f0_lv23_f1_c25,A,6511,0.433,48,5.238565981728968,9.179788756205646,5.238565981728968
mv_f0_lv23_f1_n25,A,6510,0.433,48,5.237931585151785,9.18152566118336,5.237931585151785
mv_f0_lv23_f1_c24,A,6509,0.433,48,5.236324133921644,9.168400606215117,5.236324133921644
mv_f0_lv9_f2_n39,A,3298,0.433,48,5.23606565153806,9.571893446255059,5.23606565153806
mv_f0_lv3_f3_n31,A,1700,0.433,48,5.232213080233481,9.00273193975897,5.232213080233481
mv_f0_lv3_f3_c31,A,1701,0.433,48,5.232204654626487,9.00304891112615,5.232204654626487
mv_f0_lv3_f3_c30,A,1699,0.433,48,5.231634169688722,8.94817868736179,5.231634169688722
mv_f0_lv9_f2_c38,A,3297,0.433,48,5.226333643082517,9.534381030123525,5.226333643082517
mv_f0_lv9_f2_n38,A,3296,0.433,48,5.225954439216349,9.533468207899524,5.225954439216349
mv_f0_lv23_f1_n24,A,6508,0.433,48,5.223278794318442,9.079238479037848,5.223278794318442
mv_f0_lv3_f3_n30,A,1698,0.433,48,5.218550816656687,8.92427626610346,5.218550816656687
mv_f0_lv9_f2_c37,A,3295,0.433,48,5.215852578434446,9.494998256268415,5.215852578434446
mv_f0_lv9_f2_n37,A,3294,0.433,48,5.215823750872569,9.495018828532565,5.215823750872569
mv_f0_lv23_f1_c23,A,6507,0.433,48,5.211527327317175,8.948511265283871,5.211527327317175
mv_f0_lv9_f2_n36,A,3292,0.433,48,5.205759634082807,9.469827205295218,5.205759634082807
mv_f0_lv23_f1_n23,A,6506,0.433,48,5.203672647072438,8.943140649989973,5.203672647072438
mv_f0_lv9_f2_c36,A,3293,0.433,48,5.200892690297554,9.486693904819873,5.200892690297554
mv_f0_lv3_f3_c29,A,1697,0.433,48,5.2000787121969045,8.837363854257939,5.2000787121969045
mv_f0_lv3_f3_n29,A,1696,0.433,48,5.199944510783946,8.837018363953106,5.199944510783946
mv_f0_lv9_f2_n35,A,3290,0.433,48,5.197567672986935,9.440006660720517,5.197567672986935
mv_f0_lv9_f2_c35,A,3291,0.433,48,5.194714571009716,9.439826642457108,5.194714571009716
mv_f0_lv9_f2_n34,A,3288,0.433,48,5.189602355785221,9.410224320609402,5.189602355785221
mv_f0_lv9_f2_c34,A,3289,0.433,48,5.188627441885882,9.414920958071429,5.188627441885882
mv_f0_lv3_f2_c38,A,1635,0.433,48,5.1880566150727345,8.647322493384069,5.1880566150727345
mv_f0_lv3_f3_c28,A,1695,0.433,48,5.181817513418519,8.751395975395502,5.181817513418519
mv_f0_lv9_f2_n33,A,3286,0.433,48,5.181724454312882,9.38014318292927,5.181724454312882
mv_f0_lv3_f3_n28,A,1694,0.433,48,5.181666683204875,8.750874444049977,5.181666683204875
mv_f0_lv3_f2_c39,A,1637,0.433,48,5.181596602214975,8.706452797783092,5.181596602214975
mv_f0_lv23_f1_c22,A,6505,0.433,48,5.181311541304333,8.805886037073096,5.181311541304333
mv_f0_lv23_f1_n22,A,6504,0.433,48,5.181115955282658,8.805426571257248,5.181115955282658
mv_f0_lv9_f2_c33,A,3287,0.433,48,5.180269963201947,9.364631587134882,5.180269963201947
mv_f0_lv3_f2_n39,A,1636,0.433,48,5.177036517826821,8.621078962433648,5.177036517826821
mv_f0_lv9_f2_c32,A,3285,0.433,48,5.176733425303496,9.390075109636655,5.176733425303496
mv_f0_lv3_f2_n38,A,1634,0.433,48,5.175291029552128,8.588396832627936,5.175291029552128
mv_f0_lv9_f2_n32,A,3284,0.433,48,5.173968824854963,9.351279642831743,5.173968824854963
mv_f0_lv3_f2_c37,A,1633,0.433,48,5.168825092418543,8.533666514705262,5.168825092418543
mv_f0_lv3_f2_n37,A,1632,0.433,48,5.168660754955113,8.533210719947967,5.168660754955113
mv_f0_lv9_f2_c30,A,3281,0.433,48,5.167715495492917,9.282056867499048,5.167715495492917
mv_f0_lv9_f2_c31,A,3283,0.433,48,5.165579633839835,9.301019382649526,5.165579633839835
mv_f0_lv9_f2_n31,A,3282,0.433,48,5.165171759986454,9.30761716188035,5.165171759986454
mv_f0_lv3_f3_c27,A,1693,0.433,48,5.163749981072184,8.664555703626426,5.163749981072184
mv_f0_lv3_f3_n27,A,1692,0.433,48,5.163731851815421,8.66594610479355,5.163731851815421
mv_f0_lv3_f2_n36,A,1630,0.433,48,5.162058030133779,8.477899100853024,5.162058030133779
mv_f0_lv3_f2_c36,A,1631,0.433,48,5.160322167841856,8.455516221172715,5.160322167841856
mv_f0_lv23_f1_c21,A,6503,0.433,48,5.159213570565735,8.674918058122993,5.159213570565735
mv_f0_lv23_f1_n21,A,6502,0.433,48,5.158817313825295,8.669055293358708,5.158817313825295
mv_f0_lv9_f2_n30,A,3280,0.433,48,5.156370161383026,9.264574845522965,5.156370161383026
mv_f0_lv3_f2_c35,A,1629,0.433,48,5.1558810165770685,8.425559680840534,5.1558810165770685
mv_f0_lv3_f2_n35,A,1628,0.433,48,5.155602150028803,8.424509463819057,5.155602150028803
mv_f0_lv3_f2_c34,A,1627,0.433,48,5.14962376653193,8.373180960756194,5.14962376653193
mv_f0_lv3_f2_n34,A,1626,0.433,48,5.1495356448231115,8.372415576784764,5.1495356448231115
mv_f0_lv3_f3_c26,A,1691,0.433,48,5.149441710306792,8.591045285423753,5.149441710306792
mv_f0_lv3_f2_c32,A,1623,0.433,48,5.1477173935396,8.271231826273517,5.1477173935396
mv_f0_lv3_f2_c33,A,1625,0.433,48,5.146726359362289,8.315637071059916,5.146726359362289
mv_f0_lv3_f3_n26,A,1690,0.433,48,5.145880273500423,8.57813202960022,5.145880273500423
mv_f0_lv23_f2_c36,A,6613,0.433,48,5.144385855320457,8.119954935917557,5.144385855320457
mv_f0_lv3_f2_n33,A,1624,0.433,48,5.143530528829839,8.321266018672993,5.143530528829839
mv_f0_lv9_f2_n29,A,3278,0.433,48,5.1432504121025415,9.21492816288221,5.1432504121025415
mv_f0_lv9_f2_c29,A,3279,0.433,48,5.141736150226172,9.22996359767807,5.141736150226172
mv_f0_lv23_f1_c20,A,6501,0.433,48,5.137331530961304,8.54552077695194,5.137331530961304
mv_f0_lv3_f2_n32,A,1622,0.433,48,5.137298119576916,8.270690518704033,5.137298119576916
mv_f0_lv9_f2_c27,A,3275,0.433,48,5.1372066248116655,9.232556521567663,5.1372066248116655
mv_f0_lv23_f1_n20,A,6500,0.433,48,5.137162112322966,8.545461800342986,5.137162112322966
mv_f0_lv23_f2_c32,A,6605,0.433,48,5.134257494711887,8.200084690417233,5.134257494711887
mv_f0_lv9_f1_c36,C,3213,0.433,48,5.134104350341793,8.868124137290996,5.134104350341793
mv_f0_lv23_f2_n36,A,6612,0.433,48,5.132366905358065,8.097532701392469,5.132366905358065
mv_f0_lv3_f3_c25,A,1689,0.433,48,5.131787217898884,8.509541579127779,5.131787217898884
mv_f0_lv23_f2_n37,A,6614,0.433,48,5.131595135003164,8.093853589582839,5.131595135003164
mv_f0_lv23_f2_c38,A,6617,0.433,48,5.131320244780467,8.091721866475458,5.131320244780467
mv_f0_lv23_f2_n38,A,6616,0.433,48,5.131004659922451,8.090971442441697,5.131004659922451
mv_f0_lv9_f2_c28,A,3277,0.433,48,5.130898910281882,9.15974930386726,5.130898910281882
mv_f0_lv23_f2_n39,A,6618,0.433,48,5.130838743694643,8.089072319869087,5.130838743694643
mv_f0_lv9_f2_n28,A,3276,0.433,48,5.130749184151365,9.159647533279843,5.130749184151365
mv_f0_lv23_f2_c37,A,6615,0.433,48,5.129686002715837,8.085117924181892,5.129686002715837
mv_f0_lv23_f2_c39,A,6619,0.433,48,5.129008182193889,8.066404263671217,5.129008182193889
mv_f0_lv23_f2_c35,A,6611,0.433,48,5.128631389841339,8.092594261731145,5.128631389841339
mv_f0_lv23_f2_n35,A,6610,0.433,48,5.128534536381001,8.092622300666788,5.128534536381001
mv_f0_lv9_f1_c38,C,3217,0.433,48,5.128311064220989,8.845991544159418,5.128311064220989
