bus_name,phase,pp_bus_idx,vn_kv,N,MAPE_%,Max_%,MeanSigned_%
mv_f0_lv55_f0_c14,A,5343,0.433,48,5.737750982985638,8.374388115307175,5.737750982985638
mv_f0_lv55_f0_c15,A,5345,0.433,48,5.734879095646655,8.27989852729294,5.734879095646655
mv_f0_lv55_f0_c19,A,5353,0.433,48,5.732788011429295,8.297700952406496,5.732788011429295
mv_f0_lv55_f0_n19,A,5352,0.433,48,5.7258991660229155,8.280579935486278,5.7258991660229155
mv_f0_lv55_f0_n15,A,5344,0.433,48,5.725356949091865,8.275447525737881,5.725356949091865
mv_f0_lv55_f0_n16,A,5346,0.433,48,5.724197960731931,8.270930553686261,5.724197960731931
mv_f0_lv55_f0_n17,A,5348,0.433,48,5.723782303542962,8.26984528960765,5.723782303542962
mv_f0_lv55_f0_n18,A,5350,0.433,48,5.723715944756354,8.275153955175478,5.723715944756354
mv_f0_lv55_f0_n14,A,5342,0.433,48,5.723499611050083,8.278548874810033,5.723499611050083
mv_f0_lv55_f0_c17,A,5349,0.433,48,5.722682805221662,8.259332231643617,5.722682805221662
mv_f0_lv55_f0_c16,A,5347,0.433,48,5.7218600685745855,8.284492611032848,5.7218600685745855
mv_f0_lv55_f0_c13,A,5341,0.433,48,5.718469165787859,8.263781570180369,5.718469165787859
mv_f0_lv55_f0_n13,A,5340,0.433,48,5.717135890282042,8.260220278579498,5.717135890282042
mv_f0_lv55_f0_c18,A,5351,0.433,48,5.71663000800676,8.281536006868327,5.71663000800676
mv_f0_lv55_f0_n12,A,5338,0.433,48,5.710364400433991,8.241543360404775,5.710364400433991
mv_f0_lv55_f0_c11,A,5337,0.433,48,5.7093323011801544,8.227046708334843,5.7093323011801544
mv_f0_lv55_f0_c12,A,5339,0.433,48,5.709202986799819,8.259029861240986,5.709202986799819
mv_f0_lv55_f0_n11,A,5336,0.433,48,5.703980871983987,8.217375706271593,5.703980871983987
mv_f0_lv55_f0_c10,A,5335,0.433,48,5.699656066581916,8.200463694185105,5.699656066581916
mv_f0_lv55_f0_n10,A,5334,0.433,48,5.695925106487493,8.190214279995264,5.695925106487493
mv_f0_lv55_f0_c9,A,5333,0.433,48,5.690809120470848,8.166646694950424,5.690809120470848
mv_f0_lv55_f0_n9,A,5332,0.433,48,5.686718336187913,8.159895975628734,5.686718336187913
mv_f0_lv55_f0_c6,A,5327,0.433,48,5.682624092442373,8.133142396915865,5.682624092442373
mv_f0_lv55_f0_c8,A,5331,0.433,48,5.68040932218895,8.13592744388277,5.68040932218895
mv_f0_lv55_f0_n8,A,5330,0.433,48,5.676252535474373,8.127547046762206,5.676252535474373
mv_f0_lv55_f0_n7,A,5328,0.433,48,5.664512554986572,8.092665794493305,5.664512554986572
