time_step;hpk11;mv_f0_lv_oakgrove_oxenford;mv_f0_lv_chatswood_fleet;mv_f0_lv_greenview_snowdonia;mv_f0_lv_kershaw_ormond;mv_f0_lv_malabar_byron;mv_f0_lv_chisholm_kershaw;mv_f0_lv_p12_school_ormond;mv_f0_lv_ormond_school;mv_f0_lv_baringa_park_caspian;mv_f0_lv_tuileries_provence;mv_f0_lv_hallam_edeys;mv_f0_lv_ormond_strathaird;mv_f0_lv_sherwood_fleet;mv_f0_lv_golden_cherrywood;mv_f0_lv_edeys_pioneer;mv_f0_lv_community_harrington;mv_f0_lv_springfld_katherine;mv_f0_lv_meredith_harvey;mv_f0_lv_springfield_janet;mv_f0_lv_springfield_huntngtn;mv_f0_lv_raleigh_lowden;mv_f0_lv_leopold_wendy;mv_f0_lv_norwegian_glasscocks;mv_f0_lv_von_nida_dulwich;mv_f0_lv_hallam_rd_retirement;mv_f0_lv_timms_strathaird;mv_f0_lv_coral_claud;mv_f0_lv_michelle_simon;mv_f0_lv_leopold_hazel;mv_f0_lv_nimbus_amber;mv_f0_lv_geraldine_pauline;mv_f0_lv_the_parkway_karkalla;mv_f0_lv_lesley_carmen;mv_f0_lv_viewside_neesan;mv_f0_lv_sallys_run_ormond;mv_f0_lv_lesley_amy;mv_f0_lv_toomah_strathard;mv_f0_lv_jessica_geraldine;mv_f0_lv_edeys_mollisons;mv_f0_lv_ormond_tangerine;mv_f0_lv_highmount_ormond;mv_f0_lv_parkway_redwood;mv_f0_lv_tangerine_norwegian;mv_f0_lv_hadley_chesterfield
0;5.1275880377297645;26.751209339365168;54.55188426494527;27.9702264225115;55.25387152762562;35.60096655939264;49.4487844791577;19.79602253540178;13.448694360550856;27.027494389585332;40.15783752691118;44.81139741262644;36.76321743451448;29.081017731004987;45.77981626461112;41.44715472468178;39.34280151427342;45.34683510124342;42.953116729890105;32.51265341612965;13.228529943881354;29.727924082446204;20.187694588885954;51.06841386181533;42.61289075784228;19.526539260082767;37.967497433607356;43.95345529869419;34.26530885205706;37.68362735489288;28.645449200328503;24.46843968479431;32.78859227610783;31.994397927894074;19.820038199430638;16.54652864146223;16.864801747130663;34.07855331378116;36.79543334110898;42.32786000877445;31.7507114358214;38.94125817690624;38.82784592939263;42.67933283729079;31.13331246999156
1;4.78813317891682;24.791496491154412;48.68171196272995;24.710459501219106;55.695061003588805;35.08773252199332;44.60954695325156;18.82251134276101;12.577475577491226;26.910219012877732;38.312435495060356;40.56184528511365;34.05230499548346;26.211669500865288;42.49790044615825;33.00034267863853;36.81191998960527;43.74028892017004;43.03782493393709;32.15892929839726;11.849737838249627;26.1030508579709;18.852385698100658;46.69769144297353;39.72352065806071;14.860014899791127;36.17212900047495;44.03630127170895;32.4295943032832;34.73637525528993;28.019996475315367;23.71192949427063;34.903438408867856;28.35384772293069;19.21950637834751;15.589996278912944;15.927375439036759;31.59702758632777;35.37247379984896;39.81675993574893;29.364571407334537;34.715818014023476;36.959893760794884;41.72332355611887;28.971054658574918
2;4.394516530932825;22.45920307214343;42.39011262372862;22.847428728219548;49.24165570519631;31.937698869657932;40.759786980495136;18.787005657408294;11.588612985726519;25.22163714400102;36.58664839335776;35.5682029386033;32.16901537032789;23.88897349580113;39.4089026833655;30.51616034817587;35.30615698836229;38.58885664722661;39.245432256228305;28.87257604429148;10.95520375216533;24.266672619935598;16.178705811116433;43.004787176418056;35.10490020582526;15.433541856075692;31.145968690441645;40.690910159357365;29.05074948305046;32.3192625875307;26.2736031159159;21.82511841990113;31.92536375219471;25.227278506290585;15.68665607837733;14.553156157589294;12.858871293555097;29.234927345353224;35.760670492777194;35.70786150242805;25.25348745549972;32.55506066673076;34.46727996568627;39.12601364651006;28.53876404910275
3;4.117226719752128;19.199774634282022;39.139993136652585;21.550608550768146;44.89544279359494;30.028969077248014;36.904847177116594;18.773681060975555;11.121209850835365;24.661424161625668;36.935104341311245;36.319642755843304;29.06785848106061;21.181469245335048;37.69629211019267;30.14367065599326;31.384400767067223;34.69596615448098;36.981621617207864;26.735633070513533;10.09087278445075;21.762011359954194;15.414713425853902;42.1336875287013;33.35635367885093;14.610865836348651;29.079940952920207;41.01206555025782;29.05968847264317;33.47120085998632;24.518701536232747;20.609319726584705;28.96360006202118;23.387722387301917;15.683894553711559;14.025030882615376;11.415118676122574;26.39130194476244;34.48867749613074;35.95114134440007;22.839219872397084;29.852248223027207;30.74223662377713;34.82546204525657;27.67838700753354
4;3.986349037433443;19.048533999783803;38.794790084593984;20.822997545441112;43.95158680051325;29.12090588679237;36.07758465599839;18.818711580912932;10.736207572130658;22.810741464726974;35.47081464249543;39.29661612288048;27.136520435327675;20.012647459382094;37.31634008854169;29.38651136837043;29.150835503908183;33.514647024624374;35.046335726344225;25.976379975030355;10.404468481211536;21.215181084377996;15.20625540035859;43.03338689393878;30.243383758587473;13.944869059615183;29.20493343016638;41.37639064521112;28.383192443626644;30.096008219028114;23.76421965350526;20.439961124239883;28.772986959356437;22.388580903035184;14.498139114095668;13.292731452111514;10.695571694317689;25.912471370935307;33.05528615699526;36.04482846932851;22.77954610861112;29.256985583059603;29.9437511288567;33.208745896758785;26.25702305199727
5;3.9274184280169004;17.53872984068395;38.41715863865364;20.49831753565053;42.52766949078967;28.29931751961793;35.53907972557115;19.824799672053555;10.182996649507341;21.354896347075123;36.462963636775434;36.9422216599297;25.781060789104238;19.904544677922765;36.61721832960657;29.470041153228593;27.45523138881983;32.32839569837979;33.860261153955896;26.098655349951837;10.108777187962627;20.62129954004834;14.897619999566256;41.659461816231335;29.69941224808042;14.638422236757698;29.808086077675966;39.51972457413544;27.84788368064872;30.753780932960513;22.255157617662995;18.832815583887097;28.98974891837448;19.624046706759437;14.770616940652639;13.467546607319386;12.019199752685578;25.432096293929042;31.20773494965962;35.286167446775366;23.813987930873452;30.691322284930923;28.951949612336985;34.34031647289669;26.718400681803328
6;3.9423981905910606;18.868312704970158;37.50147694169221;20.539080778728195;43.71564738059802;29.572189311169478;35.494487112491775;19.093301850287983;9.861981974573782;22.137688051109684;38.06739083684109;37.21574710159577;26.8659685914806;19.621268853214282;37.84722119794608;28.685792914257895;27.038977298834777;32.182389433437415;33.184806751703185;26.394296751120745;9.400507764840741;20.80296990682863;14.5606342156536;42.7562293282432;30.2524747212154;15.28412912746608;29.971745545154267;40.2582724301337;27.833635106596255;30.504985430196157;24.012184143821337;17.592842259067883;26.639370485621033;19.02178164418457;14.823398081161779;13.738166593425715;12.53331765294262;25.22329424444434;31.176193887865;34.85087399471538;24.118308265837122;30.3955241419549;29.108870450592754;33.97149984063482;27.453700569641963
7;3.9890532157867087;19.282882294523272;36.28806547594869;21.83177196105943;42.593881761582296;28.198735840989965;39.281438434828836;19.478341306941825;9.594020899057142;22.241301407889548;38.16726976842435;37.02284965580685;28.767057982678768;19.960298093213012;38.022484487788155;30.841321786690834;28.154878788693733;31.979164801793026;34.19932837159953;25.469599536795474;10.114308647864846;20.951289273539842;13.766282815501963;44.57369264188725;30.136247517948256;15.235246367621707;29.64685679963681;38.48587803882702;28.33965567174571;30.335802503803183;23.984131685845675;19.15300463751691;26.617375353427843;19.66822745395304;14.988365137144239;14.47224048312441;13.427015760067897;25.717064542477097;30.161812155426524;35.701634828447;25.55741109866556;30.818223397383733;28.573545678806937;34.313616269088875;27.225217441595735
8;3.7501059845885893;20.312789256644628;32.3526941239621;19.26409152517352;40.21256331064001;27.555944680526657;34.906968120206784;20.29609232859122;10.252933094224172;21.53588136022256;35.25878504901314;33.63941699318807;26.31048089964449;17.896781924705202;31.24633192004651;27.34272039317484;27.8730500169237;30.15549338697084;31.738884108437638;23.033189698351748;9.170901966134469;20.670948298006053;12.112391314045471;41.78308500515894;29.204733874452177;13.39697220359384;28.957568853112157;35.06817030554867;27.24043114595981;26.078771870914164;22.500429398808404;16.732639371717077;26.470182759473936;19.04141095716676;15.22852619954861;14.378372092221042;12.665120548135036;24.070103845882763;27.440272380220133;36.048076326815334;24.449401842248104;28.020681961719436;27.697973266408795;32.60081881137209;25.641148258346995
9;3.5863314517821028;19.718334593829617;30.086917395172218;17.862238703106396;39.75322706778837;24.844082493868527;33.30716954319472;19.17039046122719;9.933591341084767;22.124374906356508;33.483822498618174;31.602961740734447;24.38108940025189;17.50400669207144;30.06993261973607;27.238855419567905;25.727689532873967;29.26911864688132;32.01833022335593;21.169905933290902;8.840439643201154;19.86601943186417;11.634479600380676;41.720950459153414;30.194268976110006;13.45032937099456;26.933008163131955;33.46462860926482;28.32151527838857;24.741601450698298;20.70795022144287;14.92318534680728;26.060246532919194;17.32259257391394;14.893793890213791;13.382596658876173;13.223488580463757;23.316900696056088;26.757278837907254;36.14913634999794;23.565600346636344;26.595398398122434;25.038823561801376;30.5897566533459;25.460338358949013
