time_step;hpk11;mv_f0_lv_oakgrove_oxenford;mv_f0_lv_chatswood_fleet;mv_f0_lv_greenview_snowdonia;mv_f0_lv_kershaw_ormond;mv_f0_lv_malabar_byron;mv_f0_lv_chisholm_kershaw;mv_f0_lv_p12_school_ormond;mv_f0_lv_ormond_school;mv_f0_lv_baringa_park_caspian;mv_f0_lv_tuileries_provence;mv_f0_lv_hallam_edeys;mv_f0_lv_ormond_strathaird;mv_f0_lv_sherwood_fleet;mv_f0_lv_golden_cherrywood;mv_f0_lv_edeys_pioneer;mv_f0_lv_community_harrington;mv_f0_lv_springfld_katherine;mv_f0_lv_meredith_harvey;mv_f0_lv_springfield_janet;mv_f0_lv_springfield_huntngtn;mv_f0_lv_raleigh_lowden;mv_f0_lv_leopold_wendy;mv_f0_lv_norwegian_glasscocks;mv_f0_lv_von_nida_dulwich;mv_f0_lv_hallam_rd_retirement;mv_f0_lv_timms_strathaird;mv_f0_lv_coral_claud;mv_f0_lv_michelle_simon;mv_f0_lv_leopold_hazel;mv_f0_lv_nimbus_amber;mv_f0_lv_geraldine_pauline;mv_f0_lv_the_parkway_karkalla;mv_f0_lv_lesley_carmen;mv_f0_lv_viewside_neesan;mv_f0_lv_sallys_run_ormond;mv_f0_lv_lesley_amy;mv_f0_lv_toomah_strathard;mv_f0_lv_jessica_geraldine;mv_f0_lv_edeys_mollisons;mv_f0_lv_ormond_tangerine;mv_f0_lv_highmount_ormond;mv_f0_lv_parkway_redwood;mv_f0_lv_tangerine_norwegian;mv_f0_lv_hadley_chesterfield
0;5.016798958338988;27.6783505516537;53.56235659843641;30.83450206453679;36.11944176913653;36.43632589867675;49.5935993263563;19.795988755685233;14.850948201955644;34.433842368455615;45.28521482888738;37.01296293456787;40.082230313882285;25.352931956901497;42.46555901063828;25.75989270706154;28.0451495002839;34.12545325654499;50.211376575899436;29.652234099512782;16.31501260384043;34.91123766155813;20.478910413631443;44.041905889087715;42.63690842710044;15.447752634786852;36.40604260709496;44.95269936043614;31.738402348671276;38.37074676314427;40.69591118833252;22.152173207855803;37.68577629080901;32.58155618820777;20.019284218316084;20.66270143792645;16.41706415030715;39.017658724625484;36.657008253022624;47.270927495604504;29.502841445437085;38.39810449129272;35.29759540031633;49.52802403310728;29.175057552031802
1;4.670911980215887;27.037761008793904;48.657332218460255;24.830695737030396;38.318936897895576;34.82723979173983;43.60247775553763;18.822461002494176;13.814353316404556;33.71552133775196;40.07548340900701;33.728064813882796;37.840901774103635;23.900173656122465;38.62168793230843;22.677705409919195;26.006011340326225;34.189078221158034;45.24534619959605;26.020450156606156;15.33070617756568;31.83044561263546;19.233014127841642;40.78506736170139;36.41946818843446;14.483687524555114;34.04932220377152;42.97821181604521;29.304136502474766;38.362595937654106;37.97529243090781;23.313012429436405;38.91139016230035;29.053991069117096;19.11760206984;18.499501991933563;16.901498156794748;35.17806850187801;34.00911345401039;44.430754186518875;28.61437744059772;34.39966297479168;35.60018175399931;45.52192915159849;28.77312333801838
2;4.312960012000709;25.06913894992861;44.19299789970905;22.65908967684358;34.14028249490139;31.817382216155192;42.12899479816245;18.786985204460187;12.612368993220027;31.319121064536027;37.31995671876673;29.836504430837124;36.65119894163007;21.709612475567802;36.65567337971315;21.305238853540445;24.47339794607017;31.159003585072533;43.300940013301826;24.825689446929516;14.110312984177927;29.99521572980497;16.77977058978375;35.65735560603738;34.66229979466586;14.311255933805626;30.42305525254446;40.74384097712455;25.30813335210319;36.07063569961096;34.920042705237506;19.50851203612167;33.21615430629377;28.669287792754133;19.04844710145703;17.51924874979683;13.137453982984987;31.804699495810933;31.335563502719165;38.17825870052391;24.943741312500467;30.7434920035395;33.56278998704582;43.146778770282296;27.233705123989328
3;4.027874166830839;22.16762694264426;40.97233764911109;21.706261882935443;31.829318451010785;31.176656601352835;38.11576701840635;18.77366636980737;11.620332692551878;32.21838226773852;35.96331065994801;29.995434620066284;32.181188049954585;18.954323769104768;34.00016356508639;20.049614259348115;23.11044009383222;29.835076320366205;41.22712153458449;23.844255073535543;14.073392651281647;28.4859835487544;16.38889370259209;33.98870935690376;31.0874518955351;14.21539629672842;27.48159500868973;39.290957291797426;27.072988003516475;34.96589893106354;32.709694290757916;18.766620281516428;29.514705049921886;27.83001653200092;18.875716677881304;17.051414736403906;11.424088933979714;28.792203939155982;29.46751454310431;38.71713337344821;21.434225106151327;28.141043077988947;31.29807412260965;38.483248214891795;26.663345450882446
4;3.860145047507847;22.255866087806524;40.099508209104336;19.92823519384675;29.39860378783581;29.095582066140175;36.62245350553201;18.818671805855633;11.137252590527014;30.291850126950287;36.38157234407689;30.759184941074196;30.532160347707094;18.401408997457434;33.952200943083184;18.671780729112424;21.02089228549052;27.943702041231948;36.540799963552494;23.91723655388635;14.18430017680459;28.10681399193892;15.544006275009986;34.144518735416675;28.23695005991692;12.617003516535375;27.46892504402203;39.171681802995494;26.072416326539287;32.08317113846014;31.353187755326857;18.441999813956713;28.507982570632766;27.799615996565635;17.568103054121188;16.217474055490957;10.983683084480973;28.580184772775624;27.496965556771265;36.08694739006019;21.611584463656428;27.993669189667024;30.83650418412528;36.917640303537105;24.77946693591778
5;3.8271501063000897;21.01913431156846;37.95438742231105;19.690203475707666;29.885901282030495;27.59281702275343;37.213712442894064;19.82477523619834;10.523548612105618;28.671869906522158;36.19001726622032;30.322644822326822;29.042585426941102;18.54668556979448;33.98571385995709;18.39302268928193;19.875591021548114;26.81473263462541;36.30882145657133;23.834350371691254;14.652688393531715;27.705336666542312;15.685884825750836;33.61230452803389;27.5410011543396;12.667836135403313;27.89242113475188;41.410057738481164;25.078607308766276;32.66770146711677;30.36119856112856;17.73015332464693;30.481310511417853;25.23625006760668;16.70124529172078;16.028741332668776;12.364434670078294;28.32299412602209;25.517370956075506;34.220839844631946;23.40921821842664;29.507769818585906;29.124829170394513;36.63835685967699;25.783092568973466
6;3.8345979517937825;22.822855551653337;36.979533242706744;20.55935604053251;30.41492489340747;28.33230859333094;36.39668235512386;19.093264209483323;10.21282816570059;29.27130366540104;36.350098681461716;29.389086937904306;30.159502671138625;18.391938883580906;35.536453746383565;19.203083902841076;19.322314756449753;27.476158181900562;37.36197502924761;23.703841606241998;13.711129156003851;27.633596826959334;16.064989947751503;34.52178416498894;27.821560172235205;13.049314237171394;27.805615632117668;39.91290900791398;24.501343443625238;32.589152328560964;30.823856055369358;17.385756679078273;29.281787162382873;22.385204281137394;17.211983869821744;16.351444043030927;12.763310518920571;27.784844173268898;26.46889960972423;34.14256490996863;23.173971341222504;29.83011329860026;29.936747992420198;36.204854065022644;26.304353908111782
7;3.9002927902833164;21.857772736373143;35.83891183538348;21.3718200289159;31.605421990754007;27.108701434152554;38.82532745916171;19.478314388806652;10.51606427760224;28.22174799765286;37.37761872560261;28.34986613613423;32.30684087516306;18.430203415827567;37.17929658626049;20.634880389381504;18.53555663773506;27.5975132710422;39.036530446945385;22.857834851191182;12.890769838663804;27.452299668399462;16.643094243945153;35.850358994286594;30.10540173163215;12.425508554641212;27.0147706430016;38.07438443178671;25.10754735304766;32.05609712889449;29.86141121591101;18.052851236846543;28.407132985692694;23.422548447625356;17.310872007987204;17.807305771522373;13.072645242974367;28.242700143134048;26.309237308108735;34.7148271252139;24.912803699958513;29.735214054052285;29.35980740346006;38.75367710196548;27.051184873100357
8;3.679709894310381;19.40230628141099;33.10512520589394;20.06275680583881;31.801136835733956;25.884136086348096;34.20081696248366;20.296076886304117;10.522522459869798;28.786294752497906;36.89915726661807;26.920533793135448;29.968194545524558;17.11863457072077;34.77817817923313;19.582752023068924;17.342209314451562;25.65774562242695;35.187225628202945;19.90869883898819;11.475812813139425;26.75891128640961;15.50025347428143;34.187302287273305;28.44464224019675;10.601771550910993;26.403105613541474;35.28392085086308;24.74654609207745;26.920554047856545;27.41813218060492;17.995007874598205;27.22612438910015;22.181776188222994;17.29565779156957;15.58984932295228;12.08318230753273;26.474443264676424;25.309736240396486;34.974613439288824;24.646219804757653;27.488220901901645;27.717707084021992;35.12971475528703;24.458876910431947
9;3.4990127538396196;18.26068539554633;32.381819149558304;20.49283703251236;29.179232751887092;24.53109955340374;32.45457691371201;19.170366463478807;10.132872606771688;28.48413193376733;34.82569316999627;26.709161682534855;26.851385108956382;16.642097134265885;34.04765473993312;19.43492687836074;16.72885249361908;24.004125046444415;33.69785585331627;17.99517464896335;11.249810442743852;26.385285027437526;12.591262558374586;33.23209647696348;28.711193544571685;10.099665835620623;23.446797481373473;32.72460284910762;26.107841830830736;26.489539175788323;25.98118133886864;17.1457991996551;26.21473469245651;21.296305708517618;16.839486070114155;14.318656712296773;11.696211778410632;25.336594577481403;24.34348668902648;35.485397215024626;22.758347640220038;25.910171315740516;26.263292279947343;33.171481142920484;22.8518043289916
10;3.376688520724993;18.279623115614303;33.84574116199307;18.43455024895726;28.388607279499805;21.880546617642587;32.262045865869304;19.802427957567982;9.85909226686649;25.030679740447294;32.06622333879594;26.653083393116596;28.236753591847684;16.445782923478525;32.23804288324557;18.78992926711375;15.694548683491124;22.331764489461527;34.938789970085985;18.107003589514285;10.955410843933892;24.725741231532304;12.140868553583308;34.94683165179864;28.999877715495803;9.08925011012677;23.673112541668694;30.15671563103195;22.453944820308227;23.245028498938666;25.342514443399715;16.35240679244097;24.659301117790072;23.95315854096653;14.617209034029901;15.199381368360868;9.744103685246554;24.696241845704044;23.07301309616883;35.02516469219667;20.517613597937576;24.923185757894778;25.825300685767065;32.42646942904092;22.70154002406078
11;3.311039061279549;17.250822449073183;32.29633423437465;18.030595619447595;29.752206134294774;21.656990485924865;33.22634447555651;18.72171243601281;9.787528990211133;22.984309014783022;31.745435532829898;25.242985270415396;27.449996400736815;15.967184750305774;32.74612669032686;17.766627399653817;15.704195384586022;22.543084389590064;30.69523269211934;20.59050363761067;10.723091061164471;24.969046240801227;12.330195289485385;31.208240280367384;29.18447933806794;8.564778127834884;22.78107193530733;28.09077391219052;20.209882066583727;24.3075306897558;24.2755395431205;14.560825186268437;23.566577650961577;25.157802534826697;13.38704789530691;15.57791703736008;10.291038141558408;23.472921645818083;23.560479003826085;31.736215816021012;19.259926739665588;27.655754386830022;26.047507013363358;31.920137591269604;20.185938129851596
12;3.2217997713499273;17.87077606676572;32.4489082800376;17.216529705240333;27.810335286229787;21.794753096102525;31.579060140108652;18.47022421048652;10.168281060955604;22.198783211361622;31.482242035700374;23.917523618645728;26.617486356408087;16.031806143630003;31.775989265420378;16.53893102608044;16.282922005569976;23.44351625545492;31.211545281382634;19.51241814256342;9.670368957139909;24.100180660134274;13.684191958865261;28.713580941248306;30.905434230385826;9.425402500048191;21.976909513740683;26.75740783121971;18.14837373868166;23.535715229725625;23.78244930273286;14.725025351366755;22.671453746450567;24.18112098722964;14.432902993089133;15.024670789175671;9.382850988766348;23.44907905599552;20.70157674107005;29.20772655203889;18.94371047708023;23.34333311095149;26.33769821390775;33.49412263459006;19.641430506244618
13;3.2700207865746607;17.219674112663235;31.345432692133386;17.184846918977232;26.841641075244016;19.35527776204793;33.99721673298799;19.66790144214895;9.88179213557691;20.476449990433903;30.624877436719828;25.874631579391753;25.828819126555192;18.908362208199968;32.390462415743016;18.28308158468118;16.05749970217595;25.685465456850327;29.997095450361428;16.452179950510413;9.553828276124245;24.075333934520266;14.774121709106375;29.006537326492698;33.74203932471003;8.838189617361177;22.07270946101788;27.405795926219334;17.70894059688922;23.989799346484514;25.82307612085891;17.09082632098183;24.938400054563285;25.880637548239644;13.977320812541134;14.964036578417902;11.039276560014791;22.361762547596374;23.291775770427126;29.920274124950414;18.972583660808116;25.642065927568662;24.57331806119562;34.43096603233146;21.335382143186006
