time_step;hpk11;mv_f0_lv_oakgrove_oxenford;mv_f0_lv_chatswood_fleet;mv_f0_lv_greenview_snowdonia;mv_f0_lv_kershaw_ormond;mv_f0_lv_malabar_byron;mv_f0_lv_chisholm_kershaw;mv_f0_lv_p12_school_ormond;mv_f0_lv_ormond_school;mv_f0_lv_baringa_park_caspian;mv_f0_lv_tuileries_provence;mv_f0_lv_hallam_edeys;mv_f0_lv_ormond_strathaird;mv_f0_lv_sherwood_fleet;mv_f0_lv_golden_cherrywood;mv_f0_lv_edeys_pioneer;mv_f0_lv_community_harrington;mv_f0_lv_springfld_katherine;mv_f0_lv_meredith_harvey;mv_f0_lv_springfield_janet;mv_f0_lv_springfield_huntngtn;mv_f0_lv_raleigh_lowden;mv_f0_lv_leopold_wendy;mv_f0_lv_norwegian_glasscocks;mv_f0_lv_von_nida_dulwich;mv_f0_lv_hallam_rd_retirement;mv_f0_lv_timms_strathaird;mv_f0_lv_coral_claud;mv_f0_lv_michelle_simon;mv_f0_lv_leopold_hazel;mv_f0_lv_nimbus_amber;mv_f0_lv_geraldine_pauline;mv_f0_lv_the_parkway_karkalla;mv_f0_lv_lesley_carmen;mv_f0_lv_viewside_neesan;mv_f0_lv_sallys_run_ormond;mv_f0_lv_lesley_amy;mv_f0_lv_toomah_strathard;mv_f0_lv_jessica_geraldine;mv_f0_lv_edeys_mollisons;mv_f0_lv_ormond_tangerine;mv_f0_lv_highmount_ormond;mv_f0_lv_parkway_redwood;mv_f0_lv_tangerine_norwegian;mv_f0_lv_hadley_chesterfield
0;5.054960240910091;26.400595699219725;47.095736999935326;32.15523372791234;55.08569940869379;28.492320100873407;47.06374536044278;19.795885251886727;14.04041414554747;29.671424718168527;47.145603663852185;40.94356616705614;30.136839231924867;28.06190466439244;47.6293060365921;47.30740686598278;31.400441989548895;36.165114588827564;56.137798959738625;28.04877301202204;13.523651975273566;33.44722979819837;22.430461367487688;46.47136332664786;47.13210347670989;22.97663541942952;39.11112624997813;37.410384142766965;29.716580544834294;34.8497491191547;37.809212617718266;24.096007710489094;35.095433876776085;35.53170630621679;19.76857114002924;17.182782090158184;13.240391228919437;31.006867903594582;36.03448237153336;37.89646557838966;29.883068108957044;29.39182793207946;36.195646190721156;43.33018204850982;32.21891822651511
1;4.728013103772114;24.830284844415836;44.86198722460232;27.922593260932526;54.095858028592794;25.881312526325928;43.45339577098978;18.822411607762874;12.978140797287816;29.341744978490652;43.35251583291814;35.04335587975859;28.990384076043235;27.739633421718963;44.80860937252268;37.48247885870023;29.447556787769013;33.129510479248204;49.592209439054656;29.850093717181714;12.90240560275254;29.101765943876373;21.240533880987552;42.055084356339115;41.93319889287061;18.601452227465437;37.25061053243587;35.74268700445313;28.663775469263115;33.69520958351363;34.993047303362005;24.352020129312667;35.01562992543706;32.46396039274426;19.84838673668579;15.17625026436669;12.517858649217779;29.190340160240524;33.31683118827517;35.63655669217124;30.080478122718517;24.751765721272413;35.55345526157488;40.96326669906184;30.965356756515366
2;4.3377958699359;23.473583424479123;40.20973706212715;25.874614803274415;48.96149248479405;24.166343561007228;40.14794518095084;18.786929639756135;11.7917455583755;28.136539942152407;40.509641485203375;30.657717272297397;26.890650313935065;25.10141029567784;42.001668815667905;34.44090149418024;28.777163118654393;29.65693416754084;45.60950226949037;27.25787502281925;12.217853589560624;25.324221909115792;19.476506335597858;39.36973933285813;39.831438063385285;18.47493835709671;32.19313866564739;35.09661776184223;26.425043605565673;29.751638189971825;31.33336012480608;22.51113652476538;32.20647488252132;30.670588730548197;16.86781598062837;13.610183239518806;11.308057482630561;27.65801498216553;31.500863200104277;32.87226844028054;25.582328868920413;22.150945287232233;32.83170046068088;40.518409838800864;30.199236386149437
3;4.042484772623163;20.801963398411772;36.79127695270349;24.370113431046107;46.07229224234478;23.589739622678273;36.33901085922988;18.77360294791538;10.717120954127408;27.402715168299334;40.779097847233345;30.618086732679927;24.69966491428163;22.222935923257417;40.20487537183052;33.40104333262123;25.13853973952336;29.821252397958638;44.402034220319194;26.71853613500712;12.21086199758741;24.11672684905241;19.524614658251195;36.45620925319183;37.49094921499362;16.961751114966727;28.798950246296812;33.88394039123974;25.49349276029017;26.686431179772075;29.27834989074866;22.222076051879753;30.43176357914696;28.98425011018993;14.98373391103833;12.99320268567657;10.378293342707796;25.435700891982073;30.77939286169852;29.417612381148395;22.362695782087844;18.864318562629055;30.862703556557236;35.746359911571034;27.944008287390176
4;3.916801471408924;19.868598741810725;35.88238657611232;22.272051820312694;44.38508997973168;22.042711492292852;34.92428153970364;18.81860828227709;9.988478513247594;27.136173273821345;38.755755889706165;31.727454618047574;24.559822027676244;21.356681247317688;39.367036586156054;31.736601214512078;23.670338837372785;27.951410278347677;41.61727952225935;25.49916112739357;11.811900350836932;23.9968733944679;18.39718789039054;36.0701665344817;33.48248739472769;15.237821287823117;28.15843343822767;33.09060003784642;24.705605178142378;26.099221033822023;27.963399307757474;22.05425006245985;29.90683534516708;28.375213547106526;14.570759632663687;12.460212083768326;8.967839010456464;24.605396744782563;27.859655821138606;30.27583018966493;22.25593656611922;18.09352286752649;30.366479526758283;33.29205651640893;27.07743797657795
5;3.8606562732795178;19.47272702610743;34.16961902965367;22.23634225574074;42.805192003694195;21.941352158007923;34.908014540470816;19.824707469742908;9.45086125113674;26.511295143951326;40.19463335701296;30.865286258951564;24.202960027243037;21.17287012134091;39.14444949014783;31.66841850046688;21.972082287269874;27.28803443929868;40.269454782079535;25.376683317366112;11.718176832244593;23.158231022233895;18.292735796069536;35.4297516094733;32.17999938773995;16.55275410114364;28.98630308616591;33.20434627161051;24.67678431375677;27.12826549209904;27.129386071020434;19.638834640468797;30.246341509302148;26.02891518726491;14.55218201936054;12.38936371122792;8.751298229873631;24.6774755612331;24.640136495602846;28.512103903385466;23.173705967300204;18.827858869393403;29.002475806272166;33.725795744155064;29.259427956307675
6;3.8819141920311773;19.944113323764455;33.024037384473615;23.287238865247307;43.778263809819876;21.332196983552524;34.38245098393421;19.093209795565517;9.580552395557808;26.081133168585424;42.57778752803426;31.930469692522323;25.588019797947624;20.62253732770912;38.655009244662494;32.29322383473786;21.90844626293576;27.342623337632705;40.146037604004334;24.79236905217515;10.522875100367038;22.730409362012306;18.695200998657295;37.16603682913895;33.52682701505437;16.785054650832933;28.85740032486398;33.385163480515864;24.623253898316282;29.433827953254976;27.677529049092513;18.377993221225307;27.88009823049242;24.169269717138;14.756443011756437;12.870411589083483;8.801329756271592;24.377404151579423;24.411537644224076;28.237798705216854;23.524730231033068;18.030838872450403;29.93657123171672;33.74995069921105;29.40287062965659
7;3.9448963567718023;18.908510194296202;32.119883866651115;24.925103866454414;43.12547351931022;21.05565543739972;36.91610223889923;19.478261487607924;10.115293034971357;25.45795016600698;41.46091650914555;32.73954263739436;25.89002429028131;20.6974600173401;37.48894914850455;34.67737652073948;24.558139635221114;28.15264950078708;40.950971377609285;22.929589037676095;9.600029533916922;22.57875787949889;18.06931434253039;38.24116930832363;35.398674043336754;16.505028685404294;29.25643827356497;31.503135482153393;24.836913367858788;29.61664262476493;27.434849974160535;19.617349069841694;26.96008596240717;25.52606701879632;15.294934017295562;14.324971184485785;10.048625944902357;25.104346844050756;23.859807737085138;29.4668644240192;24.49119767665608;18.484536780087794;29.109051396426377;36.22927695036065;30.603306390091184
8;3.7174282704014185;16.308680955531216;31.78131283094123;23.31374101849861;41.67227371651807;20.615775468951103;33.43477818915596;20.296039501259937;10.152501578277082;25.34034528614709;40.840658809413476;28.908708142511095;25.051136587081558;19.559961640530865;33.40163992017288;31.784261666681957;24.96431669413932;25.539128534142492;37.71941247989866;19.478376705830026;8.282717680123046;22.5447039921933;16.800047803362396;36.231577700036155;33.88515209216212;14.250073012166;28.276319709517892;28.467205991774218;24.26505120080141;26.632679613961642;25.37934279628064;17.481699780942396;25.94694037970264;23.78370016886594;15.158462317568855;12.395064371815218;9.612358519254558;23.566880694698533;23.281829430562688;28.426904198980115;24.130971166380128;17.23793147257688;27.47590900901319;33.16663484121157;27.65824159035551
9;3.5498820708577314;16.08547860324988;29.510851599420306;22.353858023701967;40.984576971999566;20.4451657118719;31.639182295733292;19.170341290591903;9.30772531869588;25.268382286295687;39.27153288498468;26.907179899542445;22.864025775113415;19.41900299672109;33.40642642448813;32.41516045244256;22.7482044523638;24.363984571944293;35.99140012229072;19.243950129125643;7.357348757452536;22.52378521241018;14.636760422251982;35.36115216159239;35.34831322032446;14.048265749555169;25.733788122856716;26.99283801140528;24.207701801567268;24.388749221280463;24.373244545677466;15.645638374245646;24.590946001353657;22.893979388924706;14.65956994496028;10.9220189309868;9.887701369772865;22.008299085552675;21.097174239054922;25.503434782474883;22.425826756896274;17.433047858151884;25.42553219170511;31.84595096370948;25.092291398997148
10;3.440147857801686;16.213516940801274;30.811749146403685;20.225276599698788;41.29110623735286;18.356315170041494;31.764821960987927;19.80238325590486;8.92029081156312;22.715696377553613;32.388169737767555;28.455812963259564;22.163341946181088;19.88766266148944;33.81769915756915;31.262844934590937;22.488693459903523;21.038369561297813;37.3726094011692;19.055819005960547;6.234706694215947;21.388952374731208;14.806527472650533;33.45040621330471;33.09779040211922;13.264748794480443;23.878236313164294;27.632846517051846;21.54861952746626;22.45444476163878;23.88925972489568;17.493637125536157;25.55573529450392;25.833699835157464;13.44664964804071;11.540272646531177;9.542280259953175;21.082409728919714;20.43045848781737;25.149666284422732;20.71355295269036;17.34654997477057;24.200631804459473;30.02273539805217;25.06317478207717
11;3.3719418469400306;15.068286062117847;29.697730610395766;19.163236564873344;43.63338544091243;18.536663495253283;30.308380077990556;18.721692534354474;8.714873092133319;21.869906290193892;32.17767491269374;25.986434020222326;20.30196475695309;20.110778438673336;36.66892241687825;29.229038378927918;23.28621037656415;21.02728691831691;34.96836953786448;19.994892062137527;6.188736680919104;21.62475215353009;14.80370482722628;32.503250272007534;34.30268954982663;12.910271808372354;23.131584326681836;26.910610705612285;19.649072990228312;23.83611966401676;23.827334200914496;17.891036919144216;26.408956159298764;26.259498918681473;12.586793142850055;11.585319228470906;9.497024370794076;19.433371110413024;21.94068469712129;25.839437988321883;19.39815703722955;19.45017778849163;24.27039684603806;29.79593165012161;22.250892844360152
12;3.2294298311190226;14.672303796089858;29.259315000047277;18.230455277379008;37.44123853126731;17.976657195884624;29.109649294937356;18.470156702040665;9.126301580930198;18.90866037755439;31.517894756298432;22.180968005460674;19.53822273100926;18.341471925870263;34.84807832759485;27.53220519521655;23.335419588772137;19.893030518235896;32.131931557155475;18.52418525682661;6.513523444199033;20.76589252416992;14.84476068074796;32.31412668612273;35.25150276334809;11.73232695262841;23.772252926349683;26.06586098982749;18.628730138848887;22.373504525950676;23.37435517503452;17.127570544540646;25.89436510475484;25.776830151472808;13.189568130100115;11.187405483598468;9.706939508108112;19.74162803247155;18.43703639378783;26.542402432660538;18.70633501994277;16.745737937149702;24.1145677280814;30.43982369510511;20.37770565958705
13;3.323011680864274;15.90719723824261;31.449696503019354;19.282304461347145;37.493151541852704;17.018548410008506;28.748372386158255;19.66785437369361;9.09312691854205;18.238506062392904;29.459784051951754;20.361922944473047;19.420029366836353;21.33732607122207;34.20371514331848;27.337554823841913;21.584980784262484;20.010014735004855;33.47069999490422;22.12762371051565;6.772888241559361;19.829968964320397;16.017180223177498;31.52345606505027;40.20846918858973;9.525658685478758;25.49529834274654;23.888560648446518;20.577522096152343;25.14778682271166;25.357722377216252;17.75145294661409;27.62142725536029;27.224373908056187;16.020042068388765;12.641604957946996;10.225359220220904;19.89917865157998;18.251778694844116;24.6229842956836;20.28118036361616;17.01713083189875;22.96163509439792;30.82489820136803;19.91507643880037
14;3.6450457843287327;16.70273014277267;30.459047308799136;22.39767079812618;39.718965158496594;19.70719902661015;30.503465961718;20.359298082344097;9.934364733111938;19.130723918666227;32.43960910840975;22.56573558798111;22.435934083487105;24.658865837262862;35.714518986647;29.238404010858666;23.082205865700463;19.940473530639128;38.49065288657389;23.4232257000316;6.997106219737695;21.055038132819465;15.743212286637837;35.806019868083624;43.12971371356784;10.99729389977969;28.07577333857662;26.961405323038285;20.70444055008891;28.16194446593604;27.945592402248614;17.263050871141722;27.369432082185945;30.983099642859912;18.277783646655127;16.132354121116443;11.559768119074327;21.04463901113148;25.99202628732157;25.114748706542223;24.630637178215213;17.493785935458085;24.862972775399673;32.45768986648683;25.091623627330822
